prototipo,proyecto
Derecho a jugar: la primera infancia en el espacio público,Derecho a jugar: la primera infancia en el espacio público
Space NL: un cohete colaborativo,Space NL: un cohete colaborativo
Acuario Virtual,Viaje al microcosmos de Nuevo León
"
	
Torno alfarero DIY","Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos"
"
	
Dispositivo de escucha profunda","Microteca: Fermentación, germinación de semillas y cultivo de setas en espacios mínimos"
Cribador Urbano,Autoconstructores: Saberes y prácticas para la autonomía constructiva
Aldo,Más que manos
Entorno Total,Entorno Total
Raíces: Una herramienta para la tradición,Raíces: Una herramienta para la tradición
Rayones: Archivo experimental del tatuaje local ,Rayones: Archivo experimental del tatuaje local 
"La acequia de La Fama, N.L",Visor Histórico - Mty
Plantilla - Juego de la oca,Leyendas del Noreste: comunidad de creación de juegos de rol
